,raw,prefiltered,primerFiltered,qualfiltered,denoisedF,denoisedR,merged,nonchim
Davenport_02_0008,38621,38382,37940,34861,34698,34737,33871,33045
Davenport_06_0008,47623,47326,46749,43307,43116,43158,42119,41100
Davenport_11_0008,65811,65413,64718,58987,58834,58847,57742,56312
Davenport_15_0008,106016,105395,104427,96157,95802,95928,93912,91759
Davenport_19_0008,119433,118690,117431,108301,107759,107705,104416,99393
Framstrait_01_0008,132996,132191,131242,121062,120584,120520,117140,112038
Framstrait_05_0008,91105,90536,89802,82896,82583,82571,80386,76951
Framstrait_09_0008,25024,24856,24565,22142,22055,22070,21466,20581
Framstrait_13_0008,61665,61317,60658,55557,55320,55347,53803,51581
Framstrait_17_0008,55457,55143,54470,49832,49639,49659,48266,46225
Bedford_01_0049,135658,134594,133794,102054,101670,101817,99473,97654
Bedford_07_0049,173652,172107,171135,132399,132104,132214,130202,128365
Bedford_13_0049,137706,136695,135867,104593,104250,104371,102326,100661
Bedford_19_0049,94215,93552,92973,71979,71692,71798,70225,68994
Bedford_25_0049,117859,116975,116300,89842,89603,89700,88026,86877
blank_01_0049,27775,26506,26350,20514,20483,20480,19958,18857
bloomMock_01_0049,206851,205377,203510,156145,155904,155999,152825,134183
bloomMock_02_0049,237037,235373,233416,178961,178734,178811,175227,154386
bloomMock_03_0049,218438,216985,215183,165504,165188,165326,161628,138592
bloomMock_04_0049,164909,163701,162186,118816,118637,118700,115964,100116
bloomMock_05_0049,241196,239630,237549,181531,181203,181364,177229,152223
Davenport_02_0049,176816,175522,174239,139060,138613,138741,134787,130578
Davenport_06_0049,188751,187467,186122,146589,146094,146268,141817,135833
Davenport_11_0049,180713,179487,178219,139202,138830,138949,135790,131037
Davenport_15_0049,139181,138037,137171,109665,109404,109497,107180,104984
Davenport_19_0049,154675,153567,152523,118687,118397,118485,115752,111624
evenMock_01_0049,174792,173665,172080,131346,131053,131091,127067,110178
evenMock_02_0049,173098,171942,170364,127576,127262,127322,123175,106246
evenMock_03_0049,141657,140688,139302,106322,106082,106104,102638,88270
evenMock_04_0049,196677,195373,193501,146705,146323,146400,141758,122972
evenMock_05_0049,161636,160444,158927,121358,121091,121106,117467,102312
evenMock_A_0049,155707,154626,153159,108570,108508,108481,105838,85310
evenMock_B_0049,201224,199921,198229,145916,145812,145834,142973,124488
evenMock_C_0049,166112,165041,163607,120023,119903,119949,117085,101064
evenMock_D_0049,151307,150325,149046,107120,107026,107050,104405,89804
evenMock_E_0049,149470,148463,147270,107916,107812,107824,105745,93290
evenMock_F_0049,171028,169956,168378,125067,124965,124971,122415,106376
evenMock_G_0049,151348,150402,149075,110511,110442,110438,108120,91998
evenMock_H_0049,122188,121370,120290,88503,88432,88445,86991,76773
Framstrait_01_0049,152678,151625,150410,117764,117433,117398,114204,109040
Framstrait_05_0049,147752,146771,145477,112737,112288,112471,108633,102591
Framstrait_09_0049,131249,130426,129188,99810,99338,99536,95197,87471
Framstrait_13_0049,133920,133005,131711,102528,102063,102239,97991,90963
Framstrait_17_0049,131913,130981,129845,102301,101852,101990,97600,90392
LaJolla_03_0049,180362,179090,177768,128805,128139,128364,124159,121424
LaJolla_09_0049,266622,264793,262661,191712,190594,190988,184854,179832
LaJolla_15_0049,210705,209161,207551,155288,154579,154810,151288,147615
LaJolla_21_0049,215919,214421,212731,157315,156470,156708,152501,148257
LaJolla_27_0049,296549,294680,292059,213578,212134,212508,201589,192189
Plymouth_06_0049,155008,154012,152928,110657,110368,110433,108264,105801
Plymouth_13_0049,168635,167401,166206,123600,123312,123306,121150,118828
Plymouth_19_0049,158743,157448,156536,119612,119373,119386,117549,115390
Plymouth_29_0049,157176,155911,155060,119426,119159,119187,117165,115206
Plymouth_30_0049,178249,176950,175973,135191,134874,134913,132652,130315
