#SampleID	SAMPLING_cruise	depth
CN18Sc37_12_Rep_Stdy5_AO	CN18S	0
CN18Sc37_12_Rep_Stdy10_AO	CN18S	0
CN18Sc37_12_Rep_Stdy14_AO	CN18S	0
CN18Sc37_12_Rep_Stdy18_AO	CN18S	0
CN18Sc37_12_Rep_Stdy22_AO	CN18S	0
NOAA11_AO	NA	NA
NOAA14_AO	NA	NA
NOAA20_AO	NA	NA
AWIMOCKBLOOM7_AO	NA	NA
AWIMOCKBLOOM8_AO	NA	NA
AWIMOCKBLOOM16_AO	NA	NA
AWIMOCKBLOOM18_AO	NA	NA
AWIMOCKBLOOM28_AO	NA	NA
NOC2_AO	NA	NA
NOC9_AO	NA	NA
NOC12_AO	NA	NA
NOC31_AO	NA	NA
NOC51_AO	NA	NA
UDalhousie2_AO	NA	NA
UDalhousie8_AO	NA	NA
UDalhousie14_AO	NA	NA
UDalhousie20_AO	NA	NA
UDalhousie26_AO	NA	NA
AWIMOCKEVEN1_AO	NA	NA
AWIMOCKEVEN2_AO	NA	NA
AWIMOCKEVEN3_AO	NA	NA
AWIMOCKEVEN4_AO	NA	NA
AWIMOCKEVEN5_AO	NA	NA
